text:hello how are you today?	labels:i'm great thanks! how are you doing?
text:I'm good thanks	labels:i'm great thanks! how are you doing?	episode_done:True
text:Who are video volunteers?	labels:Video Volunteers is a non governmental organisation working in the fields of media and human rights.
text:What do they do?	labels:They enable marginalised communities to raise their voices for social justice.
text:Can you explain more?	labels:IndiaUnheard is the primary community news network run by Video Volunteers. IU operates on the shoulders of community correspondents who have come from some of the marginalised communities and socio-economically backward districts in the country.These community correspondents report on issues that people in their districts are currently facing as also how the correspondents have helped community members to solve those issues. These videos inform viewers about relevant government schemes while also inspiring them to contact relevant government officials so that they can contribute to solving the problem at hand.	episode_done:True
text:What is MOJO Video/Evidence Video?	labels:Evidence video is directly related to evidence, it asks straight questions like how have laws and offices been abused and what is the evidence related to these. Evidence videos can bemade in 2 ways. Photo story and Video story   episode_done:True
text:What issues can we capture?	labels:Untouchability,Corruption,Forced Eviction,Police Torture,Caste based Violence.	episode_done:True
text:What all can be akin to witness or evidentiary footage?	labels:Photograph of evidence related to the incident or issue o Video of evidence related to the incident or issue o Interview of the community o Testimony of injuries or the injured person o Paper documents.	episode_done:True
text: How to make MOJO Video/Evidence Video?	labels:Determine what your story is.● Collect photos, video footage, interviews and information related to the issue ● Script ● Edit note ● Record voiceover and anchor recording ● Editing software ● Screening or publishing on social media.	episode_done:True
text:How to use MOJO Video/Evidence Video for social change?	labels:Start with your own community Screening your films for your community helps in getting their support for the causes being espoused as also in starting conversations about the issue among different communities. These films and conversation inspire community members to take action.	episode_done:True
text:How can I make make my community understand what IndiaUnheard is all about and how can I get them to support us?	labels:● Show the ‘village promo video’ when you meet people. ● Explain that this is ‘solutions journalism’ – you are not just reporting you will help them find a solution. That’s the difference. ● Listen to people’s concerns. If they seem suspicious find out why. Talk to them and find out what their concern is. Do they distrust your motivation? Are they afraid of the consequences/repercussions? Did they have a bad experience with media/NGOs? Address their particular issue. Listen. Acknowledge. Be positive. ● Tell them what’s wrong with mainstream media and how we are different. Unlike mainstream media we are interested in the issues of the most marginalized communities and. What drives us is NOT profit but our commitment to human rights and democracy. ● Explain IU –we’re a national network set up precisely because media is so bad for us. CCs in 130 districts. The videos go to the UN, to govt, to TV stations. ● Give them power and responsibility in your video & impact process. Some people want to be given more authority. E.g., ask a community member to deliver the call to action. Ask the victim to deliver it! People will definitely respond. ● Make videos that convey a ‘collective call to action’, so your videos show that it’s not just you but you & community. For instance ask villagers to speak about the importance of engaged communities and solving our own problems. Put bites into your videos like, ‘if we are informed we can do anything!’ then your viewers will see others supporting you and they will be inspiring ● If the community are asking for money, stopping you, refusing to take your calls – it is a sign you are doing a bad job in building community support in your area & you need to find out what you are doing wrong.	episode_done:True
text:What’s the Role of a Community Correspondent?	labels:As a CC you: ● Produce one issue video In a month    ● One impact in three months    ● You are curious and always asking questions to understand why things happen ● You are always on the look-out for unique and interesting stories ● You bring out unheard stories ● You work within and with the community ● You are a community leader ● You are a bridge between the government and the community - communications and information are your tools. ● You provide crucial information back to the community ● You are passionate about creating change.	episode_done:True
text:What Happens after I Make My Video?	labels:● You will mail the footage to the VV office or take it physically to your state office ○ Note: You might need to send written translations. It is totally fine to conduct interviews in a regional language or dialect, but make sure you send VV the translation. The translation has to be in Hindi or English.● The Mentor/Regional Editor will check your footage once she/he receives it.● If the footage is complete and you have followed your mentor's instructions,your mentor will “approve” your video, and you will be paid within 1 month ofthe date the video reaches the office.○ Sometimes your video is put on ‘hold’ because it is incomplete or not of good quality.’ This means you will need to do more work on it before it can be paid. Reasons for this: it is incomplete, for example the VO or Bite is missing or sequences are missing; or you have not followed your mentored suggestions. Once you sent in the missing pieces your video will be ‘approved.’ ● Editors in VV’s will edit the footage and subtitle the video into English. ● The video will be published on the VV website and promoted in other places. ● You will get a daily SMS update of the published video.	episode_done:True
text:What are the types of Videos CC’s do.	labels:As a CC you make many different kinds of videos, many of which you may choose to experiment with. These include: ● Community profiles ● Success videos ● Informational videos ( Using documentary or drama format ) ● Instructional videos ● Participatory videos ● Music videos ● Mini-documentaries.	episode_done:True
text:Can I make other types of videos besides IU videos?	labels:Pitch a ‘mini-doc’ to Stalin. VV wants CC’s to do more fuller and deeper stories and will pay more for them.Ask your State Coordinators for the format in which this needs to be pitched. ● Call the Training & Mentoring team in Goa for ideas. They will help to develop stories of all the other types mentioned above. ● The gender videos are in different format.Refer to “Khel Badal” manual ● Get rid of the P2C. You don’t have to do them. But in that case your video needs to be good enough to not have it. If you don’t do a p2c you should do a video diary. Make sure in the video diary you give a brief explanation of the video so the editor can edit with that.	episode_done:True
text:What’s an IU Video?	labels:An IU video is always about an issue that you are sure you can solve. Meaning, an Impact Video is possible after you do the impact process with your video. Almost all of them can and should be shown to government officials for redressal and to communities to inform and rally.Typically, these videos are on entitlement/government programs/schemes etc. For example, bad roads, absent teachers, MNREGA payments not done, health centre not working properly etc. The videos feature a sound argument, a main character, great visuals and sequences. It provides information on the government scheme, and explains clearly what the solution is. It also includes YOU, as voice over and on camera. It is your passion, and your personal connection or even lived experience of the issue, that is the basis of your credibility as a journalist. Backing up what you say with facts/evidence is also key to building credibility. It is this, along with your emotional and personal appeal that drives someone to action.  episode_done:True
text:Who is the audience for an IU Video?	labels:The main audience is people in the community and officials in concerned government departments who can solve the problem. To be effective, your video needs to do 2 things: 1. It needs to prove the case so that you can use the video to solve the problem – ie, get an impact. This comes through research and a strong argument. 2. It needs to affect your audience emotionally – shock, touch, inspire, amaze. Make them cry, make them laugh,make them empathize, make them remember forever. This is the power of a great story and of great video.	episode_done:True
text:What should we include in an IU video?	labels:1. Explain the problem – ideally with numbers! Tell us how many people affected by the problem (x percent of the village,number of people, how many districts, since how long, how much money, etc.) ● Don’t just explain the problem - show it. document visually every aspect of that problem you can identify in the location. For instance, visuals of the old woman’s life and how difficult it is for her. Show how your main character spends her entire day. 2. Give the facts of the law or entitlement that is being violated. If you don’t have the details of any government scheme or program, get it from the VV office. Inform communities of their rights. 3. Explain the reason why the problem exists. Sometimes, particularly in a corruption video, an individual may be responsible for the lapse or violation. But you can go deeper, looking into ‘root causes’ of problem. Exploring the root cause gives us the big picture.	episode_done:True
text:4. What has the community done about it – we don’t want them to appear powerless.	labels:eg, all the widows of Faizabad took a delegation to the District Commissioner in 2012. He promised they would disburse the funds. We did it again a year later, but less people participated because frankly they’d started to give up hope. Now we’re all so angry we’ve stopped fighting.    episode_done:True
text:What does the community plan to do about it now - when do they plan to do it  and can you film?	labels:Eg, your main character says, “if you make this video on our problem we will definitely join the fight. You are giving us new energy."	episode_done:True
text:6. Who is the target – ie, who can create the change you want - what’s the call to action.	labels:“Please call the BDO at this number telling him to release the pension for Munira Devi and five other widows of Faizabad village.”	episode_done:True
